Date,Monthly Return
2018-06,0.043065192
2018-07,0.04567601
2018-08,0.132364476
2018-09,-0.004824302
2018-10,-0.202191758
2018-11,0.057671756
2018-12,-0.1113497
2019-01,0.144317098
2019-02,-0.045905988
2019-03,0.0859357
2019-04,0.081858747
2019-05,-0.078613192
2019-06,0.066791742
2019-07,-0.014179179
2019-08,-0.048473823
2019-09,-0.022732741
2019-10,0.023474696
2019-11,0.013587304
2019-12,0.02612169
2020-01,0.087063806
2020-02,-0.06221372
2020-03,0.035020571
2020-04,0.268900119
2020-05,-0.01278494
2020-06,0.129566724
2020-07,0.147113627
2020-08,0.09046103
2020-09,-0.087578591
2020-10,-0.035754087
2020-11,0.043439871
2020-12,0.028058384
2021-01,-0.015576012
2021-02,-0.035328414
2021-03,0.000371783
2021-04,0.120662734
2021-05,-0.070470257
2021-06,0.067354993
2021-07,-0.032722287
2021-08,0.043034172
2021-09,-0.053518108
2021-10,0.026602459
2021-11,0.039923698
2021-12,-0.049251968
2022-01,-0.102829906
2022-02,0.026672519
2022-03,0.061437285
2022-04,-0.237525094
2022-05,-0.032764321
2022-06,-0.116459212
2022-07,0.270595973
2022-08,-0.060615044
2022-09,-0.108621893
2022-10,-0.09345131
2022-11,-0.057594698
2022-12,-0.129894353
2023-01,0.22773806
2023-02,-0.08629879
2023-03,0.096147699
2023-04,0.020911956
2023-05,0.143480374
2023-06,0.081107968
2023-07,0.025467873
2023-08,0.032390801
2023-09,-0.07890727
2023-10,0.046963443
2023-11,0.097678266
2023-12,0.040043851
2024-01,0.021455805
2024-02,0.138917516
2024-03,0.020479804
2024-04,-0.02982595
2024-05,0.008228583
2024-06,0.095273168
2024-07,-0.03244504
2024-08,-0.045352424
2024-09,0.043865557
2024-10,0.000375635
2024-11,0.11528973
2024-12,0.055317716
